temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,36.9511,34.932,27.5718,23.723,5.78015,3.84882
200,46.0752,46.873,56.8889,52.605,-1.70206,4.28389
298.15,48.1131,50.509,75.7418,72.115,-4.74343,3.62685
300,48.1343,50.543,76.0395,72.428,-4.76559,3.61153
400,48.888,52.35,90.0052,87.226,-6.61311,2.77925
500,49.243,53.94,100.957,99.08,-8.7079,1.87676
600,49.4374,55.476,109.954,109.05,-10.8851,0.903594
700,49.5552,57.204,117.584,117.727,-13.3711,-0.143057
