temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,37.3898,34.932,28.3185,23.723,7.03608,4.59553
200,46.2252,46.873,57.8283,52.605,-1.38207,5.22332
298.15,48.1848,50.509,76.7238,72.115,-4.60146,4.6088
300,48.2052,50.543,77.0219,72.428,-4.62538,4.59393
400,48.9288,52.35,91.0033,87.226,-6.5353,3.77731
500,49.2693,53.94,101.962,99.08,-8.65907,2.8822
600,49.4558,55.476,110.963,109.05,-10.8519,1.91307
700,49.5688,57.204,118.596,117.727,-13.3474,0.86886
