supercell_atoms,mesh,min_frequency_THz,S_100,Cv_100,S_298.15,Cv_298.15,S_1000,Cv_1000
120,12,0,4.58495,13.9764,53.3054,80.4657,180.641,119.286
120,20,0,4.5977,13.9821,53.3243,80.4714,180.666,119.292
120,32,0,4.60095,13.9833,53.3288,80.4726,180.672,119.293
270,12,0,4.66891,14.0532,53.3799,80.3987,180.659,119.267
270,20,0,4.6817,14.0589,53.3988,80.4044,180.685,119.273
270,32,0,4.68496,14.06,53.4034,80.4056,180.691,119.274
540,12,0,4.7013,14.0569,53.4046,80.3911,180.679,119.266
540,20,0,4.7142,14.0625,53.4237,80.3968,180.705,119.272
540,32,0,4.71748,14.0637,53.4282,80.398,180.711,119.273
