temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,34.0324,34.932,23.5175,23.723,-2.57531,-0.205499
200,44.9918,46.873,51.4973,52.605,-4.0134,-1.10768
298.15,47.5862,50.509,70.0405,72.115,-5.78669,-2.07452
300,47.6135,50.543,70.3349,72.428,-5.79615,-2.09308
400,48.5867,52.35,84.1851,87.226,-7.18866,-3.04091
500,49.0476,53.94,95.082,99.08,-9.07007,-3.99798
600,49.3008,55.476,104.049,109.05,-11.1314,-5.0011
700,49.4544,57.204,111.661,117.727,-13.5473,-6.06591
