temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,26.1297,22.836,13.6635,11.067,14.4234,2.59654
200,41.6066,40.811,37.7569,33.606,1.94952,4.15086
298.15,45.8794,46.852,55.3145,51.212,-2.07598,4.10249
300,45.9256,46.924,55.5984,51.502,-2.12765,4.09644
400,47.5969,49.597,69.0716,65.409,-4.03263,3.66262
500,48.4016,51.262,79.7886,76.664,-5.57992,3.12463
600,48.8473,52.677,88.6563,86.136,-7.27007,2.52029
700,49.1191,54.124,96.2081,94.363,-9.2471,1.84513
800,49.2967,55.71,102.779,101.692,-11.5119,1.08745
