temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,24.2737,22.836,12.5714,11.067,6.29578,1.50445
200,40.5987,40.811,35.6245,33.606,-0.520283,2.01849
298.15,45.3479,46.852,52.8819,51.212,-3.21031,1.66991
300,45.3998,46.924,53.1626,51.502,-3.24813,1.66058
400,47.2837,49.597,66.5174,65.409,-4.66427,1.10838
500,48.1957,51.262,77.1772,76.664,-5.98172,0.513233
600,48.7022,52.677,86.0132,86.136,-7.54562,-0.122805
700,49.0115,54.124,93.5457,94.363,-9.4459,-0.817304
800,49.2138,55.71,100.104,101.692,-11.6607,-1.58763
