temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,34.0498,34.932,23.5789,23.723,-2.52542,-0.144063
200,44.9964,46.873,51.5655,52.605,-4.00365,-1.0395
298.15,47.5882,50.509,70.1099,72.115,-5.78264,-2.00508
300,47.6155,50.543,70.4044,72.428,-5.79215,-2.02363
400,48.5879,52.35,84.255,87.226,-7.1865,-2.97101
500,49.0483,53.94,95.1521,99.08,-9.06873,-3.92789
600,49.3013,55.476,104.119,109.05,-11.1305,-4.93089
700,49.4548,57.204,111.731,117.727,-13.5467,-5.99564
