temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,24.1259,22.836,12.086,11.067,5.64838,1.01903
200,40.5675,40.811,35.0876,33.606,-0.596694,1.48162
298.15,45.334,46.852,52.3365,51.212,-3.23995,1.12453
300,45.3861,46.924,52.6171,51.502,-3.27737,1.11511
400,47.2759,49.597,65.9689,65.409,-4.67995,0.559903
500,48.1906,51.262,76.6274,76.664,-5.99149,-0.0366456
600,48.6987,52.677,85.4626,86.136,-7.55225,-0.67345
700,49.0089,54.124,92.9946,94.363,-9.45065,-1.36841
800,49.2119,55.71,99.553,101.692,-11.6642,-2.13904
