temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,24.8492,22.836,12.7123,11.067,8.81604,1.64529
200,40.8926,40.811,36.0828,33.606,0.199841,2.47679
298.15,45.496,46.852,53.4259,51.212,-2.89416,2.21387
300,45.5463,46.924,53.7075,51.502,-2.93602,2.20545
400,47.3691,49.597,67.0949,65.409,-4.49194,1.68589
500,48.2513,51.262,77.7703,76.664,-5.87325,1.10626
600,48.7411,52.677,86.6148,86.136,-7.47168,0.478753
700,49.0403,54.124,94.1524,94.363,-9.39275,-0.210565
800,49.2359,55.71,100.714,101.692,-11.621,-0.977518
