supercell_atoms,mesh,min_frequency_THz,S_100,Cv_100,S_298.15,Cv_298.15,S_1000,Cv_1000
64,12,0,26.588,36.3175,74.4065,47.9969,133.894,49.7012
64,20,0,26.6228,36.3288,74.4537,48.0082,133.955,49.7125
64,32,0,26.6312,36.3312,74.4647,48.0106,133.969,49.7149
216,12,0,26.4749,36.2771,74.2587,47.9818,133.739,49.6996
216,20,0,26.5096,36.2884,74.3058,47.9931,133.8,49.711
216,32,0,26.5181,36.2908,74.3169,47.9955,133.814,49.7133
512,12,0,26.4562,36.2752,74.2395,47.9818,133.72,49.6996
512,20,0,26.4909,36.2865,74.2866,47.9931,133.781,49.711
512,32,0,26.4994,36.2889,74.2976,47.9954,133.795,49.7133
