temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,33.722,34.932,22.8842,23.723,-3.46394,-0.838782
200,44.8701,46.873,50.7185,52.605,-4.273,-1.88647
298.15,47.5259,50.509,69.2266,72.115,-5.90614,-2.88843
300,47.5538,50.543,69.5206,72.428,-5.91417,-2.90736
400,48.552,52.35,83.3575,87.226,-7.25508,-3.86847
500,49.025,53.94,94.2481,99.08,-9.11202,-4.83186
600,49.2849,55.476,103.212,109.05,-11.1599,-5.83845
700,49.4427,57.204,110.822,117.727,-13.5678,-6.90537
