supercell_atoms,mesh,min_frequency_THz,S_100,Cv_100,S_298.15,Cv_298.15,S_1000,Cv_1000
108,12,0,6.93146,12.9984,27.6515,22.8753,56.8551,24.7349
108,20,0,6.95831,13.0097,27.6907,22.8866,56.908,24.7463
108,32,0,6.96511,13.0121,27.7001,22.889,56.9203,24.7486
256,12,0,6.94184,12.9974,27.6614,22.8752,56.8649,24.7349
256,20,0,6.96889,13.0087,27.7008,22.8865,56.918,24.7462
256,32,0,6.97574,13.011,27.7102,22.8888,56.9303,24.7486
500,12,0,6.93679,12.9973,27.6563,22.8752,56.8599,24.7349
500,20,0,6.9639,13.0086,27.6958,22.8865,56.913,24.7462
500,32,0,6.97075,13.011,27.7052,22.8888,56.9253,24.7486
