temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,24.7939,22.836,12.6088,11.067,8.57383,1.54183
200,40.8803,40.811,35.9584,33.606,0.169687,2.35239
298.15,45.4915,46.852,53.2984,51.212,-2.90373,2.08638
300,45.5419,46.924,53.5799,51.502,-2.94543,2.07793
400,47.3669,49.597,66.9665,65.409,-4.49635,1.55746
500,48.25,51.262,77.6414,76.664,-5.87578,0.977449
600,48.7403,52.677,86.4857,86.136,-7.47332,0.349749
700,49.0397,54.124,94.0233,94.363,-9.39389,-0.339682
800,49.2355,55.71,100.585,101.692,-11.6218,-1.10671
