temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,22.4227,22.836,11.0426,11.067,-1.80975,-0.0244185
200,39.5192,40.811,33.0272,33.606,-3.16543,-0.578768
298.15,44.7609,46.852,49.9582,51.212,-4.46316,-1.25382
300,44.8189,46.924,50.2352,51.502,-4.48613,-1.26676
400,46.9331,49.597,63.4584,65.409,-5.37118,-1.95059
500,47.9637,51.262,74.0541,76.664,-6.43424,-2.6099
600,48.5381,52.677,82.8543,86.136,-7.85707,-3.28171
700,48.8896,54.124,90.3649,94.363,-9.67107,-3.99809
800,49.1199,55.71,96.9092,101.692,-11.8294,-4.78275
